行政区划,电子监管号,地址,地块面积,土地来源,土地用途,出让方式,使用年限,行业,土地等级,成交价格,土地使用权人,容积率上限,签订日期,,,,,,,
北京市本级,1101002007B06170,海淀区西四环北路136号商业楼项目用地,1.3194,1.3194,其他商服用地,挂牌出让,40,房地产业,三级,14600,中矿宏业（北京）房地产开发有限公司,3,2007/9/14,,,,,,,
北京市本级,1101002007B03852,海淀区西四环北路136号,1.3194,1.3194,公共设施用地,挂牌出让,50,房地产业,三级,14600,中矿宏业（北京）房地产开发有限公司,0,2007/9/14,,,,,,,
北京市本级,1101002007B05806,朝阳区常营乡,16.1581,13.8068,中低价位、中小套型普通商品住房用地,招标出让,中低价位、中小套型普通商品住房用地70年; 商务金融用地40年; 其他商服用地50,房地产业,五级,115000,北京北辰实业股份有限公司,3,2007/9/14,,,,,,,
北京市本级,1101002007B05790,顺义区李桥镇,7.4591,7.4591,其他普通商品住房用地,招标出让,70,房地产业,六级,19468.28,北京世安住房股份有限公司/北京城市开发集团有限责任公司,1.8,2007/9/14,,,,,,,
北京市本级,,顺义区李桥镇商业金融、住宅项目,7.459,7.459,其他普通商品住房用地,招标出让,70,,六级,0,,,2007/9/14,,,,,,,
北京市本级,,朝阳区常营乡居住及公共服务设施等用地B2组团,8.917,8.917,其他普通商品住房用地,招标出让,70,,五级,0,,,2007/9/14,,,,,,,
北京市本级,,朝阳区常营乡居住及公共服务设施等用地A组团,13.8068,13.8068,其他普通商品住房用地,招标出让,70,,五级,0,,,2007/9/14,,,,,,,
北京市本级,,海淀区西四环北路136号商业楼项目用地,1.3194,1.3194,其他土地,挂牌出让,50,,三级,0,,,2007/9/14,,,,,,,
北京市本级,,昌平区回龙观住宅及代建公建项目（D02、F06）用地,11.3968,0,其他土地,招标出让,50,,五级,0,,,2007/9/14,,,,,,,
北京市本级,1101002007B06550,北京经济技术开发区南部新区X19街区,9.3355,0,工业用地,挂牌出让,50,其他服务业,五级,4200.9525,北京经济技术投资开发总公司,1.5,2007/9/13,,,,,,,
北京市本级,1101002007B06548,北京经济技术开发区34号街区,7.9642,0,工业用地,挂牌出让,50,软件业,五级,3583.9035,北京和利时系统工程股份有限公司,2.5,2007/9/12,,,,,,,
北京市本级,,开发区路东区B2M4,1.2892,0,工矿仓储用地,挂牌出让,50,,二级,0,,,2007/9/11,,,,,,,
北京市本级,,路东区A17M2地块,5.4774,0,工矿仓储用地,挂牌出让,50,,二级,0,,,2007/9/10,,,,,,,
北京市本级,,开发区34M2,1.9912,0,工矿仓储用地,挂牌出让,50,,二级,0,,,2007/9/10,,,,,,,
北京市本级,,开发区南部新区X19-2F2,3.2165,0,工矿仓储用地,挂牌出让,50,,二级,0,,,2007/9/10,,,,,,,
北京市本级,1101002007B05626,朝阳区常营乡,12.4433,11.8212,其他住房用地,招标出让,70,房地产业,五级,91000,保利（北京）房地产开发有限公司,2.8,2007/8/30,,,,,,,
北京市本级,,朝阳区常营乡居住及公共服务设施等用地B1组团,11.8212,11.8212,其他普通商品住房用地,招标出让,70,,五级,0,,,2007/8/30,,,,,,,
北京市本级,1101002007B05521,丰台区卢沟桥乡小井村新村,5.5504,5.5504,其他普通商品住房用地,招标出让,70,房地产业,三级,104800,保利（北京）房地产开发有限公司,2.5,2007/8/27,,,,,,,
北京市本级,,丰台区卢沟桥乡小井村新村住宅及配套,5.5504,5.5504,其他普通商品住房用地,招标出让,70,,三级,0,,,2007/8/27,,,,,,,
北京市本级,,开发区34M1,7.9642,0,工矿仓储用地,挂牌出让,50,,二级,0,,,2007/8/20,,,,,,,
北京市本级,,开发区南部新区X19-2F1,9.3355,0,工矿仓储用地,挂牌出让,50,,二级,0,,,2007/8/20,,,,,,,
北京市本级,1101002007B05504,丰台区东铁匠营宋庄路38号,5.98,5.4333,中低价位、中小套型普通商品住房用地,招标出让,70,房地产业,三级,59000,北京万科企业有限公司,3,2007/8/17,,,,,,,
北京市本级,1101002007B05459,顺义区后沙峪镇,0.6675,0.6675,其他普通商品住房用地,招标出让,70,房地产业,五级,3000,北京市嘉轩房地产开发有限公司,1.5,2007/8/17,,,,,,,
北京市本级,,顺义区后沙峪镇住宅项目用地,0.6675,0,其他普通商品住房用地,招标出让,70,,五级,0,,,2007/8/17,,,,,,,
北京市本级,,丰台区东铁匠营宋庄路38号住宅、商业项目用地,5.4333,0,其他普通商品住房用地,招标出让,70,,三级,0,,,2007/8/17,,,,,,,
北京市本级,1101002007B05306,丰台区角门路18号,2.1911,2.1911,公共设施用地,挂牌出让,50,房地产业,三级,16750,北京大万房地产开发有限责任公司,1.8,2007/8/8,,,,,,,
北京市本级,1101002007B05285,海淀区清河小营（加气混凝土厂）,6.62,6.3095,其他普通商品住房用地,招标出让,其他商服用地40年; 其他普通商品住房用地70,房地产业,五级,46500,北京金隅嘉业房地产开发有限公司,2,2007/8/8,,,,,,,
北京市本级,,丰台区角门路18号混合公建项目用地,2.1911,2.1911,其他土地,挂牌出让,50,,三级,0,,,2007/8/8,,,,,,,
北京市本级,,丰台区角门路18号混合公建项目用地,2.1911,2.1911,其他土地,挂牌出让,50,,三级,0,,,2007/8/8,,,,,,,
北京市本级,1101002007B05218,密云县西田各庄镇龚庄子村,13.7461,13.7461,其他普通商品住房用地,挂牌出让,70,商务服务业,七级,9096.66,北京长青国际老年公寓有限公司,0.6,2007/7/16,,,,,,,
北京市本级,1101002007B03796,昌平区昌平镇西关环岛西北侧,6.2318,6.2318,其他商服用地,招标出让,50,化学原料及化学制品制造业,一级,2679.6826,北京十三陵明皇蜡像宫有限公司,0,2007/7/16,,,,,,,
北京市本级,1101002007B03574,房山区燕山栗周路4号南侧,5.9913,5.9913,工业用地,招标出让,40,石油和天然气开采业,七级,269.6067,中国石化集团北京燕山石油化工有限公司,0,2007/7/16,,,,,,,
北京市本级,1101002007B03292,朝阳区安华西里一区甲一号,0.5,0.5,其他商服用地,招标出让,50,文化艺术业,三级,725.029,中国木隅艺术剧院有限责任公司,0,2007/7/16,,,,,,,
北京市本级,,密云县西田各庄镇龚庄子村老年公寓,13.746,13.746,其他普通商品住房用地,挂牌出让,70,,七级,0,,,2007/7/16,,,,,,,
北京市本级,1101002007B06350,北京经济技术开发区28号街区,1.2195,0,其他商服用地,招标出让,40,商务服务业,五级,3423.2488,北京京皖世纪大酒店有限责任公司,,2007/7/4,,,,,,,
北京市本级,1101002007B06347,北京经济技术开发区13号街区,1.7616,0,其他商服用地,招标出让,50,房地产业,五级,6325.762,北京经济技术投资开发总公司,,2007/7/3,,,,,,,
海淀区,,永丰高新技术产业基地I-22地块,4.5417,4.5417,工矿仓储用地,挂牌出让,50,,五级,0,,,2007/6/30,,,,,,,
海淀区,,中关村环保科技示范园J03,3.6926,3.6926,工矿仓储用地,挂牌出让,50,,五级,0,,,2007/6/30,,,,,,,
海淀区,,永丰高新技术产业基地III-21地块,4.3224,4.3224,工矿仓储用地,挂牌出让,50,,五级,0,,,2007/6/30,,,,,,,
海淀区,,永丰高新技术产业基地III-5-B地块,2.6666,2.6666,工矿仓储用地,挂牌出让,50,,五级,0,,,2007/6/30,,,,,,,
海淀区,,中关村环保科技示范园J01、J05,9.6317,9.6317,工矿仓储用地,挂牌出让,50,,五级,0,,,2007/6/30,,,,,,,
海淀区,,中关村环保科技示范园J07,2.0326,2.0326,工矿仓储用地,挂牌出让,50,,五级,0,,,2007/6/30,,,,,,,
海淀区,,中关村环保科技示范园M02、M05,8.2448,8.2448,工矿仓储用地,挂牌出让,50,,五级,0,,,2007/6/30,,,,,,,
海淀区,,永丰高新技术产业基地III-16地块,1.5568,1.5568,工矿仓储用地,挂牌出让,50,,五级,0,,,2007/6/30,,,,,,,
海淀区,,中关村环保科技示范园M06,4.5147,4.5147,工矿仓储用地,挂牌出让,50,,五级,0,,,2007/6/30,,,,,,,
海淀区,,永丰高新产业基地III-12地块,1.9893,1.9893,工矿仓储用地,挂牌出让,50,,五级,0,,,2007/6/30,,,,,,,
海淀区,,中关村环保科技示范园L02,7.3934,7.3934,工矿仓储用地,挂牌出让,50,,五级,0,,,2007/6/30,,,,,,,
海淀区,,上地信息产业基地北区7号地块,3.6737,3.6737,工矿仓储用地,挂牌出让,50,,二级,0,,,2007/6/30,,,,,,,
海淀区,,永丰高新技术产业基地III-10地块,2.7662,2.7662,工矿仓储用地,挂牌出让,50,,五级,0,,,2007/6/30,,,,,,,
海淀区,,永丰高新技术产业基地III-22地块,7.3745,7.3745,工矿仓储用地,挂牌出让,50,,五级,0,,,2007/6/30,,,,,,,
海淀区,,永丰高新技术产业基地III-14地块,2.2529,2.2529,工矿仓储用地,挂牌出让,50,,五级,0,,,2007/6/30,,,,,,,
海淀区,,北下关净土寺32号,0.0589,0.0589,工矿仓储用地,挂牌出让,50,,一级,0,,,2007/6/30,,,,,,,
海淀区,,永丰高新技术产业基地II-8地块,4.5891,4.5891,工矿仓储用地,挂牌出让,50,,五级,0,,,2007/6/30,,,,,,,
海淀区,,永丰高新技术产业基地III-20地块,5.5729,5.5729,工矿仓储用地,挂牌出让,50,,五级,0,,,2007/6/30,,,,,,,
海淀区,,永丰高新技术产业基地I-1-A地块,1.2665,1.2665,工矿仓储用地,挂牌出让,50,,五级,0,,,2007/6/30,,,,,,,
北京市本级,1101002007B06569,北京经济技术开发区34号街区,1.9912,0,工业用地,挂牌出让,50,化学原料及化学制品制造业,五级,716.8267,北京爱普益生物科技有限公司,2,2007/6/29,,,,,,,
北京市本级,1101002007B05596,石景山区鲁谷G804#,1.0468,1.0468,其他普通商品住房用地,招标出让,70,房地产业,四级,22841,北京金第房地产开发有限责任公司联合体,5.02,2007/6/29,,,,,,,
