Date	Year	MSA_name	Num_Institutions	Total_Assets	Num_Offices	Depoits($000)	HHI

06-30-2001|2001|Buffalo-Cheektowaga, NY|0|-|-|-|-
06-30-2001|2001|BUFFALO-CHEEKTOWAGA-NIAGARA FALLS, NY|18|1,240,958,902|272|18,241,248|2,205.6393
06-30-2001|2001|BURLINGTON, NC|14|936,028,711|46|1,851,121|1,135.5107
06-30-2001|2001|BURLINGTON-SOUTH BURLINGTON, VT|8|115,728,213|70|2,691,514|2,102.0667
06-30-2001|2001|CALIFORNIA-LEXINGTON PARK, MD|9|692,057,561|22|639,843|2,579.1567
06-30-2001|2001|CANTON-MASSILLON, OH|21|291,630,929|124|4,577,845|1,460.7837
06-30-2001|2001|CAPE CORAL-FORT MYERS, FL|31|1,131,369,233|167|6,321,701|1,283.5904
06-30-2001|2001|CAPE GIRARDEAU, MO-IL|12|684,650,085|36|1,174,039|1,334.1129
06-30-2001|2001|CARBONDALE-MARION, IL|20|132,013,936|51|1,423,357|825.2207
06-30-2001|2001|CARSON CITY, NV|11|742,733,685|19|743,108|1,368.9935
06-30-2001|2001|CASPER, WY|6|90,366,454|16|1,658,239|4,654.7748
06-30-2001|2001|CEDAR RAPIDS, IA|40|136,594,454|100|3,175,580|1,022.7279
06-30-2001|2001|CHAMBERSBURG-WAYNESBORO, PA|11|87,416,724|59|1,454,100|1,501.9163
06-30-2001|2001|CHAMPAIGN-URBANA, IL|38|208,384,245|91|3,372,599|1,112.7569
06-30-2001|2001|CHARLESTON, WV|16|98,077,650|78|3,428,461|2,025.2961
06-30-2001|2001|CHARLESTON-NORTH CHARLESTON, SC|21|980,572,273|149|4,618,480|1,178.6263
06-30-2001|2001|CHARLOTTE-CONCORD-GASTONIA, NC-SC|46|1,018,312,248|497|64,988,113|3,500.3295
06-30-2001|2001|CHARLOTTESVILLE, VA|15|981,145,961|70|2,075,538|1,429.4063
06-30-2001|2001|CHATTANOOGA, TN-GA|25|850,536,242|153|5,214,617|1,385.6309
06-30-2001|2001|CHEYENNE, WY|13|90,807,034|23|687,376|1,355.6917
06-30-2001|2001|CHICAGO-NAPERVILLE-ELGIN, IL-IN-WI|366|1,594,398,736|2,397|199,895,858|459.9679
06-30-2001|2001|CHICO, CA|12|1,030,047,403|44|2,070,757|1,304.1440
06-30-2001|2001|CINCINNATI, OH-KY-IN|98|403,097,102|751|39,275,276|1,572.9579
06-30-2001|2001|CLARKSVILLE, TN-KY|17|777,333,400|71|1,885,655|925.3705
06-30-2001|2001|CLEVELAND, TN|11|188,767,549|42|1,205,599|1,365.4401
06-30-2001|2001|CLEVELAND-ELYRIA, OH|48|463,930,004|697|51,500,802|1,212.3288
06-30-2001|2001|COEUR DALENE, ID|12|672,356,102|35|949,213|1,668.0006
06-30-2001|2001|Coeur dAlene, ID|0|-|-|-|-
06-30-2001|2001|COLLEGE STATION-BRYAN, TX|16|813,727,662|50|1,793,498|1,245.9664
06-30-2001|2001|COLORADO SPRINGS, CO|35|262,211,520|119|3,959,188|916.7100
06-30-2001|2001|COLUMBIA, MO|14|691,414,701|50|1,563,308|2,254.4186
06-30-2001|2001|COLUMBIA, SC|21|977,059,872|184|6,899,683|1,237.1842
06-30-2001|2001|COLUMBUS, GA-AL|16|449,286,887|82|3,521,464|3,112.9874
06-30-2001|2001|COLUMBUS, IN|8|39,953,775|25|1,746,215|6,007.7263
06-30-2001|2001|COLUMBUS, OH|63|351,206,820|473|24,085,543|1,495.7852
06-30-2001|2001|CORPUS CHRISTI, TX|22|607,182,606|98|3,022,647|1,132.6098
06-30-2001|2001|CORVALLIS, OR|9|709,072,728|17|565,201|1,730.5556
06-30-2001|2001|CRESTVIEW-FORT WALTON BEACH-DESTIN, FL|20|1,049,890,694|86|2,445,215|764.9752
06-30-2001|2001|CUMBERLAND, MD-WV|8|34,239,890|38|882,646|2,421.2284
06-30-2001|2001|DALLAS-FORT WORTH-ARLINGTON, TX|161|1,603,591,890|1,153|63,353,827|919.3009
06-30-2001|2001|DALTON, GA|15|1,143,554,562|37|1,496,487|1,286.5630
06-30-2001|2001|DANVILLE, IL|17|16,937,840|37|952,633|1,242.6137
06-30-2001|2001|DAPHNE-FAIRHOPE-FOLEY, AL|12|202,282,588|66|1,735,667|1,521.5941
06-30-2001|2001|DAVENPORT-MOLINE-ROCK ISLAND, IA-IL|47|212,489,335|139|5,513,960|576.3526
