Date	Year	state_name	Num_Institutions	Total_Assets	Num_Offices	Depoits($000)	HHI
06-30-2001	2001	Florida	349	2,168,871,726	4,667	222,797,442	816.6786
06-30-2001	2001	Georgia	369	1,259,926,442	2,349	102,071,478	522.0771
06-30-2001	2001	Guam	9	508,257,200	38	1,295,232	1,730.9487
06-30-2001	2001	Hawaii	13	32,398,735	299	18,589,155	2,290.1416
06-30-2001	2001	Idaho	37	857,637,394	457	11,106,724	1,473.5604
06-30-2001	2001	Illinois	859	1,627,260,195	4,056	251,947,432	299.0973
06-30-2001	2001	Indiana	241	547,488,935	2,228	74,155,982	393.2859
06-30-2001	2001	Iowa	465	833,698,678	1,489	45,538,000	291.6646
06-30-2001	2001	Kansas	410	698,872,452	1,424	40,622,501	230.9529
06-30-2001	2001	Kentucky	280	1,078,652,141	1,664	52,518,759	317.4483
06-30-2001	2001	Louisiana	184	333,297,473	1,487	48,579,901	997.5830
06-30-2001	2001	Maine	42	275,817,884	518	14,350,363	842.4580
06-30-2001	2001	Marshall Islands	2	11,158,457	5	35,886	5,220.6136
06-30-2001	2001	Maryland	157	1,180,454,374	1,674	67,065,428	640.8850
06-30-2001	2001	Massachusetts	238	521,824,127	2,007	136,697,385	869.3598
06-30-2001	2001	Michigan	196	398,641,857	2,972	122,204,324	784.1893
06-30-2001	2001	Minnesota	526	449,288,548	1,638	75,705,625	1,164.1712
06-30-2001	2001	Mississippi	117	184,369,773	1,120	30,081,629	589.4524
06-30-2001	2001	Missouri	414	1,118,052,370	2,149	77,679,975	435.8043
06-30-2001	2001	Montana	88	80,006,756	351	10,058,020	576.4409
06-30-2001	2001	Nebraska	300	140,409,754	948	28,758,893	382.9199
06-30-2001	2001	Nevada	50	1,100,318,602	424	21,304,764	1,413.3802
06-30-2001	2001	New Hampshire	46	345,015,544	426	29,030,628	2,483.8242
06-30-2001	2001	New Jersey	180	1,517,712,914	3,020	167,712,156	729.9329
06-30-2001	2001	New Mexico	68	613,403,539	491	15,221,846	865.6691
06-30-2001	2001	New York	259	2,855,389,354	4,530	464,339,732	899.5343
06-30-2001	2001	North Carolina	141	1,089,601,137	2,456	137,245,119	1,437.3765
06-30-2001	2001	North Dakota	116	22,215,544	408	10,590,189	401.5962
06-30-2001	2001	Northern Mariana Islands	5	55,519,998	12	452,987	2,897.7306
06-30-2001	2001	Ohio	349	650,814,753	3,917	180,313,109	541.1936
06-30-2001	2001	Oklahoma	300	693,013,942	1,165	39,399,067	304.5563
06-30-2001	2001	Oregon	63	971,835,740	993	31,261,844	1,150.6955
06-30-2001	2001	Palau	3	11,247,118	3	123,530	5,143.3920
06-30-2001	2001	Pennsylvania	324	858,624,212	4,535	179,296,401	532.3900
06-30-2001	2001	Puerto Rico	15	511,886,821	534	33,455,126	1,574.4052
06-30-2001	2001	Rhode Island	18	246,216,660	222	14,556,228	2,453.8489
06-30-2001	2001	South Carolina	113	1,058,974,737	1,248	39,713,083	668.9541
06-30-2001	2001	South Dakota	103	61,311,127	431	15,549,932	784.2011
06-30-2001	2001	Tennessee	235	1,169,054,219	2,005	73,741,241	614.7323
06-30-2001	2001	Texas	766	1,933,419,255	4,865	243,390,382	482.4516
06-30-2001	2001	Utah	72	941,936,746	574	81,362,340	4,670.4901
06-30-2001	2001	Vermont	26	119,290,126	267	8,045,577	1,171.2836
06-30-2001	2001	Virgin Islands Of The U.S.	6	1,018,903,009	23	1,237,939	3,649.0214
06-30-2001	2001	Virginia	187	1,268,848,580	2,421	100,925,957	548.3554
06-30-2001	2001	Washington	117	974,400,986	1,729	65,539,001	961.6679
06-30-2001	2001	West Virginia	93	271,113,275	629	21,340,131	746.7242
06-30-2001	2001	Wisconsin	337	312,330,713	2,144	78,566,914	566.3821
06-30-2001	2001	Wyoming	53	13,246,644	184	7,429,306	847.5584
06-30-2002	2002	Alabama	177	440,678,836	1,422	55,492,761	782.9517
06-30-2002	2002	Alaska	9	82,629,122	129	5,038,649	2,695.1123
06-30-2002	2002	American Samoa	2	9,648,199	5	105,724	5,140.3325
06-30-2002	2002	Arizona	67	1,624,863,897	960	48,815,826	1,684.3907
06-30-2002	2002	Arkansas	188	888,082,949	1,265	35,729,503	277.6342
06-30-2002	2002	California	353	1,696,301,205	6,269	533,765,600	915.2221
06-30-2002	2002	Colorado	206	625,179,250	1,290	55,302,125	562.8345
06-30-2002	2002	Connecticut	78	1,349,285,350	1,160	64,139,904	938.9710
06-30-2002	2002	Delaware	44	830,412,636	241	85,311,697	1,542.6412
06-30-2002	2002	District Of Columbia	24	1,132,862,299	193	13,366,338	1,448.8592
06-30-2002	2002	Federated States Of Micronesia	3	10,352,166	9	108,777	3,465.2143
06-30-2002	2002	Florida	348	2,517,303,322	4,625	242,820,634	851.3799
06-30-2002	2002	Georgia	364	1,748,047,573	2,441	109,345,138	664.7286
06-30-2002	2002	Guam	8	518,459,276	37	1,334,971	1,876.7121
06-30-2002	2002	Hawaii	12	32,945,004	297	19,296,942	2,244.6874
06-30-2002	2002	Idaho	37	1,103,653,795	462	11,843,713	1,277.1949
06-30-2002	2002	Illinois	835	1,522,981,316	4,103	266,319,716	298.6947
06-30-2002	2002	Indiana	236	620,022,568	2,209	75,513,347	379.3673
06-30-2002	2002	Iowa	451	859,485,553	1,496	47,527,024	273.7405
06-30-2002	2002	Kansas	404	902,320,877	1,447	42,993,008	233.9519
06-30-2002	2002	Kentucky	275	1,127,872,753	1,690	52,912,184	264.1361
06-30-2002	2002	Louisiana	181	399,234,858	1,504	49,757,255	950.0882
06-30-2002	2002	Maine	41	290,948,242	507	14,787,325	755.3056
06-30-2002	2002	Marshall Islands	2	10,265,765	5	30,835	5,020.4293
06-30-2002	2002	Maryland	153	1,236,984,460	1,684	70,747,927	640.2048
06-30-2002	2002	Massachusetts	232	503,619,433	2,045	153,346,342	813.9075
06-30-2002	2002	Michigan	193	628,522,635	2,910	126,597,506	842.3610
06-30-2002	2002	Minnesota	513	525,897,958	1,668	77,740,959	1,225.6387
06-30-2002	2002	Mississippi	114	194,466,395	1,100	31,307,403	600.6984
06-30-2002	2002	Missouri	406	961,500,731	2,170	81,754,616	502.1155
06-30-2002	2002	Montana	86	193,884,077	354	10,543,491	556.8756
06-30-2002	2002	Nebraska	297	257,065,555	950	29,302,778	364.6750
06-30-2002	2002	Nevada	54	1,326,857,949	435	27,382,996	1,311.4610
06-30-2002	2002	New Hampshire	43	279,004,878	414	29,363,775	2,216.7791
06-30-2002	2002	New Jersey	181	1,900,013,149	3,039	180,955,065	666.4997
06-30-2002	2002	New Mexico	68	642,553,051	480	15,496,260	932.4766
