id,new_ID,lat,lng,confidence,county
3601052015A00128,2015120,28.67932675322139,115.84940233004775,50,湾里区
3505212015B00516-1,2015121,25.053054771605865,118.82762720620958,30,惠安县
4201002015B01265,2015122,30.5913827812,114.28479522527,40,武汉市本级
1505222015B00485,2015123,43.38159746792596,123.5573142442966,25,科尔沁左翼后旗
1505222015B00485,2015124,43.38159746792596,123.5573142442966,25,科尔沁左翼后旗
1505222015B00485,2015125,43.38159746792596,123.5573142442966,25,科尔沁左翼后旗
4401002015A01627,2015126,23.107309474550185,113.2421756001121,30,广州市本级
4401002015A01639,2015127,23.107309474550185,113.2421756001121,30,广州市本级
4401002015A01644,2015128,23.107309474550185,113.2421756001121,30,广州市本级
3310042015B00250,2015129,28.539255745619542,121.44925611265299,25,路桥区
3304832015B01625,20151210,30.603274023793418,120.54308815688869,40,桐乡市
4401002015A01610,20151211,23.107309474550185,113.2421756001121,30,广州市本级
3307832015A03155,20151212,27.434438585573968,120.62183493763857,80,东阳市
6523012015A04555,20151213,44.103407601712405,87.08297748582724,30,昌吉市
4290062015A02330,20151214,30.853639584469374,113.29816162427943,25,天门市
5001102015B00682,20151215,28.954990003028716,106.93268745444776,40,万盛区
6523012015A04563,20151216,44.103407601712405,87.08297748582724,30,昌吉市
1407812015B00185,20151217,37.05369228166596,111.93005801879383,25,介休市
6523012015A04505,20151218,44.17508344789088,87.07361805322499,10,昌吉市
4304242015B00853,20151219,27.09168465677578,112.95595883439776,25,衡东县
2327022015B00029-1,20151220,50.79720865943569,124.30793478209468,30,松岭区
6523012015A04537,20151221,44.103407601712405,87.08297748582724,30,昌吉市
1407812015B00230,20151222,23.250621118522346,116.6106720861088,80,介休市
4312252015A01155,20151223,26.908995312763725,109.7470289372894,30,会同县
6203212015A00479,20151224,38.4334096654667,102.03431627621974,12,永昌县
4304242015B00886,20151225,26.900781252746533,113.1966240647169,25,衡东县
2111212015B00519,20151226,40.84690196169919,122.0872005311325,30,大洼县
1529002015A00315,20151227,40.8253693102481,111.71960068538968,40,阿拉善盟本级
3205812015B01158,20151228,31.637995484303357,120.78796298344952,25,常熟市
3411262015A00868,20151229,32.86891694064605,117.57274430891438,25,凤阳县
3415252015A00829,20151230,31.40309218014961,116.26411820204133,30,霍山县
6523012015A04607,20151231,44.103407601712405,87.08297748582724,30,昌吉市
1407812015B00193,20151232,37.045350841650105,112.01958745958129,30,介休市
6523012015A04582,20151233,44.103407601712405,87.08297748582724,30,昌吉市
4311002015A05695,20151234,23.037227161402587,113.65105489352884,80,永州市本级
6523012015A04514,20151235,44.103407601712405,87.08297748582724,30,昌吉市
1407812015B00229,20151236,37.00983877176839,111.85141721846583,25,介休市
1407812015B00193,20151237,37.045350841650105,112.01958745958129,30,介休市
4304242015B00886,20151238,26.900781252746533,113.1966240647169,25,衡东县
6203212015A00460,20151239,38.4334096654667,102.03431627621974,12,永昌县
4304242015B00853,20151240,27.09168465677578,112.95595883439776,25,衡东县
3205812015B01158,20151241,31.637995484303357,120.78796298344952,25,常熟市
3606002015B01384-1,20151242,36.125314394402146,120.45363462830665,60,鹰潭市本级
4311002015A05695,20151243,23.037227161402587,113.65105489352884,80,永州市本级
6523012015A04537,20151244,44.103407601712405,87.08297748582724,30,昌吉市
3415252015A00829,20151245,31.40309218014961,116.26411820204133,30,霍山县
2111212015B00508,20151246,40.96106719293053,121.98647647085937,30,大洼县
6523012015A04563,20151247,44.103407601712405,87.08297748582724,30,昌吉市
1529002015A00315,20151248,40.8253693102481,111.71960068538968,40,阿拉善盟本级
6523012015A04582,20151249,44.103407601712405,87.08297748582724,30,昌吉市
6523012015A04546,20151250,44.103407601712405,87.08297748582724,30,昌吉市
3411262015A00868,20151251,32.86891694064605,117.57274430891438,25,凤阳县
6203212015A00479,20151252,38.4334096654667,102.03431627621974,12,永昌县
5001102015B00682,20151253,28.954990003028716,106.93268745444776,40,万盛区
2327022015B00029-1,20151254,50.79720865943569,124.30793478209468,30,松岭区
3303812015A09068,20151255,27.766874450049688,120.65036630279609,50,瑞安市
3503222015A01755,20151256,25.373815414080497,118.69560132217964,50,仙游县
3303042015B07383-1,20151257,27.876644064774695,120.6648327135376,30,瓯海区
1305822015B00398,20151258,36.93863545934609,114.28309250178685,14,沙河市
5002342015B00836,20151259,31.196917674162414,108.405011523612,50,开县
6104002015A01157,20151260,34.37461984821151,108.73915987899169,50,咸阳市本级
1305822015B00312,20151261,36.91605182146163,114.48211275113488,18,沙河市
6104002015A01124,20151262,34.375026888085955,108.78639319233363,40,咸阳市本级
2312212015B00196,20151263,46.86948126117522,126.59302313007693,14,望奎县
6104002015A01168,20151264,34.402786444441574,108.88557225696013,18,咸阳市本级
5002342015B00810,20151265,31.165032387843237,108.37839735799666,80,开县
6104002015A01182,20151266,30.03406990687072,117.00682739943993,14,咸阳市本级
3402232015B00561,20151267,36.73178511005452,118.86210314868379,60,南陵县
1301212015B00130,20151268,38.12556197785891,114.03094130603779,25,井陉县
5002342015B00836,20151269,31.196917674162414,108.405011523612,50,开县
1502212015B00134,20151270,40.58873461754852,110.5393725183474,25,土默特右旗
2312212015B00206,20151271,46.86948126117522,126.59302313007693,14,望奎县
6104002015A01170,20151272,30.03406990687072,117.00682739943993,14,咸阳市本级
2312212015B00196,20151273,46.86948126117522,126.59302313007693,14,望奎县
6104002015A01124,20151274,34.375026888085955,108.78639319233363,40,咸阳市本级
1502212015B00160,20151275,22.57504720312199,114.2576522932201,80,土默特右旗
4514812015A01550,20151276,22.102757435538038,106.75483877370785,60,凭祥市
