name,latitude,longitude,miss
"北京市第二中学
",39.92337232646724,116.38969486393204,1
"北京市第五十中学
",39.886058694528685,116.44075658079623,1
"北京市第一六六中学
",39.9194792652409,116.41667277350685,1
"北京市广渠门中学
",39.8946982570552,116.439124417803,1
"北京汇文中学
",39.881687074153604,116.42200915051471,1
"北京市第四中学
",39.93240791170932,116.38544626611485,1
"北京市第八中学
",39.91019426125105,116.36268874739281,1
"北京市第十五中学
",39.95083179859891,116.33592386269892,1
"北京市第三十五中学
",39.94012543946074,116.37048289094622,1
"北京市育才学校
",40.30385177627623,116.63489551779655,1
"北京师范大学附属实验中学
",39.91029433268943,116.36789525035047,1
"北京市和平街 第一中学
",39.94716530375148,116.39995554216938,1
"北京市陈经纶中学
",39.92100188554299,116.4487218897913,1
"北京青年政治学院附属中学
",39.98224149112269,116.48822240444288,1
"北京市第十中学
",39.88203850696705,116.29012242697422,1
"北京市第十二中学
",39.84890200207006,116.28113384718259,1
"北京市第十八中学
",39.862050217911396,116.43679943357994,1
"北京市丰台区第八中学
",39.85280721956861,116.28200576901612,1
"北京市第九中学
",39.93511997201676,116.16520954082759,1
"北京市苹果园中学
",39.92946056882923,116.19418897300264,1
"北京景山学校远洋分校
",39.897836881739856,116.23685419277943,1
"北京市第十九中学
",39.887127258316426,116.43136172013867,1
"北京市第一零一中学
",39.88217432743142,116.4217902340509,1
"北京市八一中学
",39.97889174480078,116.3032273392803,1
"北京市十一学校
",39.89962063696382,116.28480131755468,1
"北京大学附属中学
",39.97741167119783,116.32057313591427,1
"清华大学附属中学
",40.008079053934026,116.31990820726165,1
"北京市大峪中学分校
",39.88816420265767,116.10785041399077,1
"北京市门头沟新桥路中学
",39.93787764180903,116.10319760212658,1
"北京市房山区长沟中学
",39.58257518891627,115.90242835724781,1
"北京市房山区良乡第二中学
",39.73536829741168,116.15352432010727,1
"北京市通州区潞河中学
",39.89858106208615,116.65717851989068,1
"北京市通州区运河中学
",39.89185693939025,116.67436164016313,1
"北京中加学校
",39.94293474941675,116.6949013752991,1
"北京市顺义区第一中学
",40.12362175173482,116.65293944342888,1
"北京市顺义区杨镇第一中学
",40.153316488701435,116.82223146632813,1
"北京市顺义区牛栏山第一中学
",40.21900884057132,116.66393128253031,1
"北京市昌平区第一中学
",40.215464032981295,116.2103629952691,1
"北京市昌平区第二中学
",40.2204266349107,116.237867463144,1
"北京市昌平区南口学校
",40.23340099780843,116.1416293138802,1
"北京市大兴区第一中学
",39.646021606697616,116.41926820238913,1
"北京市大兴区兴华中学
",39.7546745752665,116.33328151252434,1
"北京市第二中学亦庄学校
",39.79478599232516,116.4892806699095,1
"北京市怀柔区第一中学
",40.31597764270431,116.62942604714898,1
"北京市怀柔区第五中学
",40.31376887857989,116.64408725920515,1
"北京市怀柔区雁栖学校
",40.36145893212902,116.65611793979612,1
"北京市平谷中学
",40.145007387319104,117.09011225418466,1
"北京师范大学附属平谷中学
",40.15192434301383,117.10600588185214,1
"北京市平谷区第三中学
",40.13747271297651,117.11193991380186,1
"北京绿谷小香玉艺术学校
",40.144808234983664,117.05245223168814,1
"北京市密云县第三中学
",40.379315015823884,116.85541209076119,1
"北京市密云县水库中学
",40.526278198502,116.9952283700129,1
"北京市密云县河南寨中学
",40.326787685263746,116.82335597664674,1
"北京市延庆县第一中学
",40.46458204539246,115.9772305617507,1
"北京市延庆县第四中学
",40.468699700304725,115.9903910796708,1
"北京市延庆县十一学校
",40.459953638436495,115.9671156099152,1
"北京市延庆县永宁学校
",40.53880779030683,116.16367836197804,1
"北京师范大学烟花附属中学
",39.96109534750153,116.36764759473564,1
"北京汇文中学
",39.881687074153604,116.42200915051471,1
"北京教育学院朝阳分院附属学校
",39.9307865061011,116.40085565429466,1
"北京中学
",39.96803674961597,116.44848829507546,1
"北京第八十中学
",40.00942005820499,116.47848926632142,1
"北京第十二中学
",39.861531264739675,116.30980320391546,1
"北京第十中学
",39.88203850696705,116.29012242697422,1
"北京师范大学附属苹果园中学
",39.96109534750153,116.36764759473564,1
"北京市第九中学
",39.93511997201676,116.16520954082759,1
"北京理工大学附属中学
",39.94881206671105,116.3039836183179,1
"北京人民大学附属中学
",39.96735970150268,116.32166461925628,1
"北京市通州区永乐店中学
",39.713407797870794,116.78374402399406,1
"北京市十五中学南口学校
",40.23340099780843,116.1416293138802,1
"北京怀柔区庙城学校
",40.287750103528815,116.62664657289118,1
"北京市平谷区第五中学
",40.151735555254405,117.10595072751083,1
"北京实验学校平谷校区
",40.20972873225387,117.14430909491584,1
"北京市密云区古北口中学
",40.69254271137091,117.16470337356463,1
"北京市延庆区第一中学
",40.46458204539246,115.9772305617507,1
